11708 files found
Loading point clouds...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 11708/11708 [00:36<00:00, 320.30it/s]
2025-06-25 23:30:11.308968
Epoch:1 | Step:500 | Loss:17.83226
Epoch:1 | Step:1000 | Loss:15.41326
Epoch:1 | Step:1500 | Loss:15.56288
Epoch:1 | Step:2000 | Loss:15.02905
Epoch:1 | Step:2500 | Loss:15.14424
Epoch:1 | Step:3000 | Loss:15.25351
Epoch:1 | Step:3500 | Loss:15.12385
Epoch:1 | Step:4000 | Loss:15.30506
Epoch:1 | Step:4500 | Loss:15.00226
Epoch:1 | Step:5000 | Loss:15.05194
Epoch:1 | Step:5500 | Loss:14.97073
Epoch:1 | Step:6000 | Loss:14.5611
Epoch:1 | Step:6500 | Loss:14.86973
Epoch:1 | Step:7000 | Loss:14.83566
Epoch:1 | Step:7500 | Loss:15.15171
Epoch:1 | Step:8000 | Loss:14.6828
Epoch:1 | Step:8500 | Loss:14.78261
Epoch:1 | Step:9000 | Loss:14.68152
Epoch:1 | Step:9500 | Loss:14.78813
Epoch:1 | Step:10000 | Loss:14.60135
Epoch:1 | Step:10500 | Loss:14.43191
Epoch:1 | Step:11000 | Loss:14.6925
Epoch:1 | Step:11500 | Loss:14.87357
2025-06-26 00:18:20.024839
Epoch:2 | Step:12000 | Loss:14.68345
Epoch:2 | Step:12500 | Loss:14.60869
Epoch:2 | Step:13000 | Loss:14.90466
Epoch:2 | Step:13500 | Loss:14.97759
Epoch:2 | Step:14000 | Loss:14.76147
Epoch:2 | Step:14500 | Loss:14.9988
Epoch:2 | Step:15000 | Loss:14.6767
Epoch:2 | Step:15500 | Loss:14.78035
Epoch:2 | Step:16000 | Loss:14.46286
Epoch:2 | Step:16500 | Loss:14.46936
Epoch:2 | Step:17000 | Loss:14.75232
Epoch:2 | Step:17500 | Loss:14.76821
Epoch:2 | Step:18000 | Loss:14.47974
Epoch:2 | Step:18500 | Loss:14.82944
Epoch:2 | Step:19000 | Loss:14.76753
Epoch:2 | Step:19500 | Loss:14.90167
Epoch:2 | Step:20000 | Loss:14.61436
Epoch:2 | Step:20500 | Loss:14.70786
Epoch:2 | Step:21000 | Loss:14.23368
Epoch:2 | Step:21500 | Loss:14.61399
Epoch:2 | Step:22000 | Loss:14.50722
Epoch:2 | Step:22500 | Loss:14.92747
Epoch:2 | Step:23000 | Loss:14.93507
2025-06-26 01:06:26.970618
Epoch:3 | Step:23500 | Loss:14.7046
Epoch:3 | Step:24000 | Loss:14.40988
Epoch:3 | Step:24500 | Loss:14.77888
Epoch:3 | Step:25000 | Loss:14.81341
Epoch:3 | Step:25500 | Loss:14.83606
Epoch:3 | Step:26000 | Loss:14.85954
Epoch:3 | Step:26500 | Loss:14.8849
Epoch:3 | Step:27000 | Loss:14.52194
Epoch:3 | Step:27500 | Loss:14.68076
Epoch:3 | Step:28000 | Loss:14.72574
Epoch:3 | Step:28500 | Loss:14.5778
Epoch:3 | Step:29000 | Loss:14.55203
Epoch:3 | Step:29500 | Loss:14.71324
Epoch:3 | Step:30000 | Loss:14.4415
Epoch:3 | Step:30500 | Loss:14.44121
Epoch:3 | Step:31000 | Loss:14.69082
Epoch:3 | Step:31500 | Loss:14.6566
Epoch:3 | Step:32000 | Loss:14.38948
Epoch:3 | Step:32500 | Loss:14.62574
Epoch:3 | Step:33000 | Loss:14.75159
Epoch:3 | Step:33500 | Loss:14.61733
Epoch:3 | Step:34000 | Loss:14.60455
Epoch:3 | Step:34500 | Loss:14.80233
Epoch:3 | Step:35000 | Loss:14.44539
2025-06-26 01:54:39.193261
